"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MSR1",7.79024934398719e-11,0.402113299694324,0.204,0.13,1.55804986879744e-07,"0","MSR1"
"IER5L",4.5728547614433e-10,0.486612720259551,0.224,0.184,9.14570952288659e-07,"0","IER5L"
"C12orf57",1.56611796310614e-09,0.310924731653246,0.373,0.38,3.13223592621229e-06,"0","C12orf57"
"TFRC",1.92918769428893e-09,0.809667778939734,0.274,0.242,3.85837538857786e-06,"0","TFRC"
"FDX1",1.9953089845011e-09,0.370050418271408,0.279,0.257,3.99061796900219e-06,"0","FDX1"
"NRARP",1.14392787747911e-08,0.264106639000139,0.115,0.108,2.28785575495822e-05,"0","NRARP"
"AL627171.1",2.66302622613928e-08,0.477187341988992,0.21,0.179,5.32605245227856e-05,"0","AL627171.1"
"INHBA",3.07362174639912e-08,0.635924525611783,0.186,0.11,6.14724349279824e-05,"0","INHBA"
"TAF9",4.78769398479418e-08,0.389123604537571,0.24,0.242,9.57538796958837e-05,"0","TAF9"
"VEGFA",4.6919633457901e-07,0.520708347117728,0.164,0.118,0.00093839266915802,"0","VEGFA"
"NFATC1",6.82434797218762e-07,0.445190464387095,0.204,0.175,0.00136486959443752,"0","NFATC1"
"SLC7A5",5.10386623974018e-06,0.250949622293788,0.137,0.1,0.0102077324794804,"0","SLC7A5"
"EDN1",6.25575869633367e-06,0.284468615078187,0.142,0.083,0.0125115173926673,"0","EDN1"
"TNFRSF12A",1.06790449974454e-05,0.511249838917323,0.205,0.168,0.0213580899948908,"0","TNFRSF12A"
"SIDT1",1.2175099598561e-05,0.372759149561868,0.177,0.113,0.024350199197122,"0","SIDT1"
"BHLHE40",0.000156719168035559,0.253636082468291,0.127,0.058,0.313438336071117,"0","BHLHE40"
"ERO1B",0.000448991523314218,0.26333921207151,0.226,0.243,0.897983046628436,"0","ERO1B"
"GADD45G",0.00632858905136503,0.322414352196692,0.226,0.268,1,"0","GADD45G"
"PLP1",0,2.76222251081886,1,0.633,0,"1","PLP1"
"SCD",0,2.66409680436211,1,0.315,0,"1","SCD"
"MBP",0,2.5219300629848,1,0.453,0,"1","MBP"
"CNP",0,2.50308288624238,1,0.374,0,"1","CNP"
"CLDND1",0,2.49798676549072,1,0.446,0,"1","CLDND1"
"EDIL3",0,2.48854064551209,0.999,0.312,0,"1","EDIL3"
"GPM6B",0,2.47602849863554,1,0.445,0,"1","GPM6B"
"PCDH9",0,2.44118381895708,1,0.308,0,"1","PCDH9"
"TMEM144",0,2.44076067634977,0.999,0.341,0,"1","TMEM144"
"TF",0,2.42834819347065,1,0.353,0,"1","TF"
"PPP1R14A",0,2.39122187808334,0.999,0.305,0,"1","PPP1R14A"
"CLDN11",0,2.36783418498071,0.998,0.304,0,"1","CLDN11"
"APLP1",0,2.35625029731195,1,0.306,0,"1","APLP1"
"ENPP2",0,2.33504935586437,0.996,0.298,0,"1","ENPP2"
"QDPR",0,2.31938370652882,0.991,0.311,0,"1","QDPR"
"MARCKSL1",0,2.30540868247265,1,0.369,0,"1","MARCKSL1"
"ERMN",0,2.27400711094181,0.994,0.292,0,"1","ERMN"
"MAG",0,2.24693545643313,0.998,0.285,0,"1","MAG"
"MOBP",0,2.24155240659581,0.979,0.255,0,"1","MOBP"
"OPALIN",0,2.23281351985779,0.922,0.273,0,"1","OPALIN"
"HSPA2",0,2.23081403882995,0.994,0.31,0,"1","HSPA2"
"PTGDS",0,2.22893794424315,1,0.444,0,"1","PTGDS"
"AMER2",0,2.21251474836395,0.994,0.291,0,"1","AMER2"
"ANLN",0,2.20696570966798,0.978,0.236,0,"1","ANLN"
"SLAIN1",0,2.18209627610633,0.998,0.35,0,"1","SLAIN1"
"SLC44A1",0,2.17056668701775,0.999,0.388,0,"1","SLC44A1"
"MAL",0,2.16543478192787,0.989,0.32,0,"1","MAL"
"SCD5",0,2.16529679614758,0.997,0.328,0,"1","SCD5"
"MOG",0,2.16443023541496,0.984,0.247,0,"1","MOG"
"CD9",0,2.15853493120363,0.994,0.307,0,"1","CD9"
"PRR18",0,2.13899793424679,0.987,0.302,0,"1","PRR18"
"APP",0,2.13477159560995,0.996,0.372,0,"1","APP"
"HHIP",0,2.13099989332971,0.963,0.259,0,"1","HHIP"
"GPR37",0,2.12495197702057,0.986,0.292,0,"1","GPR37"
"GPRC5B",0,2.11159130842464,0.991,0.294,0,"1","GPRC5B"
"CNTN2",0,2.11080041120869,0.988,0.254,0,"1","CNTN2"
"TTLL7",0,2.1054787093032,0.987,0.235,0,"1","TTLL7"
"TUBB4A",0,2.09644850956894,0.99,0.265,0,"1","TUBB4A"
"TPPP",0,2.08543633321299,0.968,0.232,0,"1","TPPP"
"FAM107B",0,2.08488399878921,0.991,0.297,0,"1","FAM107B"
"EFHD1",0,2.05537963595514,0.98,0.284,0,"1","EFHD1"
"NKX6-2",0,2.05464537625482,0.99,0.273,0,"1","NKX6-2"
"FEZ1",0,2.04970639538207,0.992,0.352,0,"1","FEZ1"
"HAPLN2",0,2.04229919406874,0.891,0.267,0,"1","HAPLN2"
"LINC00844",0,2.04144472389143,0.935,0.289,0,"1","LINC00844"
"SEPT4",0,2.03190472420735,0.992,0.299,0,"1","SEPT4"
"ABCA2",0,2.02786473427044,0.987,0.313,0,"1","ABCA2"
"SEPT8",0,2.02612369722265,0.962,0.285,0,"1","SEPT8"
"NDRG1",0,2.02388821130708,0.982,0.318,0,"1","NDRG1"
"CARNS1",0,2.02237256125433,0.974,0.273,0,"1","CARNS1"
"LANCL1",0,2.01073751020468,0.963,0.254,0,"1","LANCL1"
"STMN1",0,2.0090024798053,0.997,0.47,0,"1","STMN1"
"APOD",0,2.00859470243101,0.993,0.313,0,"1","APOD"
"SLC12A2",0,2.00043338633567,0.974,0.257,0,"1","SLC12A2"
"PLLP",0,2.00033395596602,0.98,0.305,0,"1","PLLP"
"CRYAB",0,1.97175874203191,0.999,0.393,0,"1","CRYAB"
"S100B",0,1.96434743961176,0.981,0.378,0,"1","S100B"
"SPOCK3",0,1.96423862046456,0.979,0.292,0,"1","SPOCK3"
"ANK3",0,1.95856523107303,0.958,0.223,0,"1","ANK3"
"UGT8",0,1.95656052611807,0.93,0.242,0,"1","UGT8"
"MAP1B",0,1.95471869843256,0.944,0.256,0,"1","MAP1B"
"ATP1B1",0,1.94858359030894,0.996,0.322,0,"1","ATP1B1"
"CSRP1",0,1.9432435923829,0.992,0.292,0,"1","CSRP1"
